Title,Release_Year,Duration,Collection,Genre,Director,Rating,Votes
Octopussy,1983,131,67.9,"Action, Adventure, Thriller",John Glen,6.5,"105,696"
Army of Darkness,1992,81,11.5,"Comedy, Horror",Sam Raimi,7.4,"176,734"
Home Alone 2: Lost in New York,1992,120,173.59,"Adventure, Comedy, Crime",Chris Columbus,6.8,"348,930"
Life of Brian,1979,94,20.05,Comedy,Terry Jones,8,"396,460"
The Cat in the Hat,2003,82,101.15,"Adventure, Comedy, Family",Bo Welch,4,"82,872"
The Dukes of Hazzard,2005,104,80.27,Comedy,Jay Chandrasekhar,5.1,"79,022"
Clerks,1994,92,3.15,Comedy,Kevin Smith,7.7,"221,455"
Pocahontas,1995,81,141.6,"Animation, Adventure, Drama",Mike Gabriel,6.7,"185,755"
21,2008,123,81.16,"Crime, Drama, History",Robert Luketic,6.8,"250,098"
The Hunchback of Notre Dame,1996,91,100.14,"Animation, Drama, Family",Gary Trousdale,7,"156,311"
The Texas Chainsaw Massacre,2003,98,80.57,"Crime, Horror",Marcus Nispel,6.2,"142,136"
A Nightmare on Elm Street,2010,95,63.08,"Crime, Drama, Horror",Samuel Bayer,5.2,"100,213"
"Dude, Where's My Car?",2000,83,46.73,"Comedy, Mystery, Sci-Fi",Danny Leiner,5.5,"139,976"
Desperado,1995,104,25.63,"Action, Crime, Thriller",Robert Rodriguez,7.1,"185,502"
Mortal Kombat,1995,101,70.45,"Action, Adventure, Fantasy",Paul W.S. Anderson,5.8,"117,924"
G.I. Joe: The Rise of Cobra,2009,118,152.27,"Action, Adventure, Sci-Fi",Stephen Sommers,5.7,"208,536"
2 Fast 2 Furious,2003,107,127.15,"Action, Adventure, Crime",John Singleton,5.9,"272,502"
Hitch,2005,118,179.5,"Comedy, Romance",Andy Tennant,6.6,"316,160"
Grindhouse,2007,191,25.04,"Action, Horror, Thriller",Robert Rodriguez,7.5,"184,413"
The Devil's Rejects,2005,107,17.04,"Crime, Horror, Western",Rob Zombie,6.7,"99,830"
Freaky Friday,2003,97,110.23,"Comedy, Family, Fantasy",Mark Waters,6.3,"137,819"
Angels & Demons,2009,138,133.38,"Action, Mystery, Thriller",Ron Howard,6.7,"291,689"
Dragonball Evolution,2009,85,9.35,"Action, Adventure, Fantasy",James Wong,2.6,"74,481"
Rambo,2008,92,42.75,"Action, Adventure, Thriller",Sylvester Stallone,7,"230,806"
Ocean's Thirteen,2007,122,117.15,"Crime, Thriller",Steven Soderbergh,6.9,"344,358"
Låt den rätte komma in,2008,114,2.12,"Drama, Fantasy, Horror",Tomas Alfredson,7.9,"215,910"
[Rec],2007,78,"178,722","Horror, Mystery, Thriller",Jaume Balagueró,7.4,"178,722"
Coach Carter,2005,136,67.26,"Biography, Drama, Sport",Thomas Carter,7.3,"147,380"
Miami Vice,2006,132,63.45,"Action, Adventure, Crime",Michael Mann,6,"117,153"
Resident Evil: Apocalypse,2004,94,51.2,"Action, Horror, Sci-Fi",Alexander Witt,6.1,"199,131"
Machete,2010,105,26.59,"Action, Crime, Thriller",Ethan Maniquis,6.6,"197,339"
Epic Movie,2007,86,39.74,"Adventure, Comedy, Fantasy",Jason Friedberg,2.4,"105,657"
1408,2007,104,71.99,"Fantasy, Horror, Mystery",Mikael Håfström,6.8,"272,004"
Be Cool,2005,118,56.05,"Comedy, Crime, Music",F. Gary Gray,5.6,"69,868"
Flash Gordon,1980,111,"56,555","Action, Adventure, Sci-Fi",Mike Hodges,6.5,"56,555"
Back to the Future Part III,1990,118,87.73,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,7.4,"441,020"
Escape from L.A.,1996,101,25.48,"Action, Adventure, Sci-Fi",John Carpenter,5.7,"74,803"
Lethal Weapon 2,1989,114,147.25,"Action, Crime, Thriller",Richard Donner,7.2,"175,251"
101 Dalmatians,1996,103,136.19,"Adventure, Comedy, Crime",Stephen Herek,5.7,"110,998"
The Princess Diaries 2: Royal Engagement,2004,113,95.17,"Comedy, Family, Romance",Garry Marshall,5.8,"80,954"
Hitman,2007,100,39.69,"Action, Crime, Thriller",Xavier Gens,6.2,"169,891"
A Nightmare on Elm Street 3: Dream Warriors,1987,96,44.79,"Fantasy, Horror",Chuck Russell,6.6,"80,786"
17 Again,2009,102,64.17,"Comedy, Drama, Fantasy",Burr Steers,6.4,"199,498"
You Don't Mess with the Zohan,2008,113,100.02,"Action, Comedy",Dennis Dugan,5.6,"201,762"
4: Rise of the Silver Surfer,2007,92,131.92,"Action, Adventure, Fantasy",Tim Story,5.6,"264,780"
Evil Dead II,1987,84,5.92,"Comedy, Horror",Sam Raimi,7.7,"163,052"
Scooby-Doo 2: Monsters Unleashed,2004,93,84.22,"Adventure, Comedy, Family",Raja Gosnell,5.1,"57,150"
The Exorcism of Emily Rose,2005,119,75.07,"Drama, Horror, Thriller",Scott Derrickson,6.7,"129,628"
Monster House,2006,91,73.66,"Animation, Comedy, Family",Gil Kenan,6.6,"117,751"
Elf,2003,97,173.4,"Adventure, Comedy, Family",Jon Favreau,7,"263,694"
National Lampoon's Van Wilder,2002,92,21.01,"Comedy, Romance",Walt Becker,6.3,"109,984"
A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,87,30,Horror,Jack Sholder,5.4,"69,346"
Zack and Miri Make a Porno,2008,101,31.46,"Comedy, Romance",Kevin Smith,6.5,"177,494"
Lara Croft Tomb Raider: The Cradle of Life,2003,117,65.66,"Action, Adventure, Fantasy",Jan de Bont,5.5,"138,381"
Eragon,2006,104,75.03,"Action, Adventure, Family",Stefen Fangmeier,5.1,"126,542"
A Goofy Movie,1995,78,35.35,"Animation, Adventure, Comedy",Kevin Lima,6.9,"54,157"
How the Grinch Stole Christmas,2000,104,260.04,"Comedy, Family, Fantasy",Ron Howard,6.2,"242,729"
Corpse Bride,2005,77,53.36,"Animation, Drama, Family",Tim Burton,7.3,"268,761"
Freddy vs. Jason,2003,97,82.62,"Action, Horror",Ronny Yu,5.7,"119,161"
Bruce Almighty,2003,101,242.83,"Comedy, Fantasy",Tom Shadyac,6.8,"399,988"
Step Up,2006,104,65.33,"Crime, Drama, Music",Anne Fletcher,6.5,"118,777"
xXx,2002,124,142.11,"Action, Adventure, Thriller",Rob Cohen,5.8,"179,840"
The Illusionist,2006,110,39.87,"Drama, Fantasy, Mystery",Neil Burger,7.6,"371,037"
Street Kings,2008,109,26.42,"Action, Crime, Thriller",David Ayer,6.8,"113,774"
Night of the Living Dead,1968,96,0.09,"Horror, Thriller",George A. Romero,7.8,"127,440"
The Spiderwick Chronicles,2008,96,71.2,"Action, Adventure, Drama",Mark Waters,6.5,"95,694"
The Time Machine,2002,96,56.68,"Action, Adventure, Sci-Fi",Simon Wells,5.9,"124,709"
Death Race,2008,105,36.32,"Action, Sci-Fi, Thriller",Paul W.S. Anderson,6.4,"208,640"
Mr. Deeds,2002,96,126.29,"Comedy, Romance",Steven Brill,5.8,"144,401"
DOA: Dead or Alive,2006,87,0.48,"Action, Adventure, Mystery",Corey Yuen,4.8,"44,879"
Beowulf,2007,115,82.16,"Animation, Action, Adventure",Robert Zemeckis,6.3,"167,962"
Bedazzled,2000,93,37.88,"Comedy, Fantasy",Harold Ramis,6.1,"103,798"
The Hunted,2003,94,34.24,"Action, Crime, Drama",William Friedkin,6,"47,670"
The Golden Compass,2007,113,70.11,"Adventure, Family, Fantasy",Chris Weitz,6.1,"187,875"
National Treasure: Book of Secrets,2007,124,219.96,"Action, Adventure, Mystery",Jon Turteltaub,6.5,"236,080"
The Matrix Revolutions,2003,129,139.31,"Action, Sci-Fi",Lana Wachowski,6.7,"508,802"
Hostel: Part II,2007,94,17.61,Horror,Eli Roth,5.5,"90,318"
The Amityville Horror,2005,90,65.23,Horror,Andrew Douglas,5.9,"112,082"
The Grudge,2004,91,110.36,"Horror, Mystery, Thriller",Takashi Shimizu,5.9,"144,631"
Stuart Little,1999,84,140.04,"Adventure, Comedy, Family",Rob Minkoff,6,"134,763"
Evolution,2001,101,38.35,"Comedy, Sci-Fi",Ivan Reitman,6.1,"128,979"
Shrek the Third,2007,93,320.71,"Animation, Adventure, Comedy",Chris Miller,6.1,"304,198"
Joy Ride,2001,97,21.97,"Action, Mystery, Thriller",John Dahl,6.6,"69,557"
Beverly Hills Cop II,1987,100,153.67,"Action, Comedy, Crime",Tony Scott,6.5,"119,319"
The Karate Kid Part II,1986,113,115.1,"Action, Family, Sport",John G. Avildsen,6.1,"89,227"
Babel,2006,143,34.3,Drama,Alejandro G. Iñárritu,7.5,"302,030"
Conan the Destroyer,1984,103,31.04,"Action, Adventure, Fantasy",Richard Fleischer,5.9,"80,335"
Rat Race,2001,112,56.62,"Action, Adventure, Comedy",Jerry Zucker,6.4,"115,547"
What Lies Beneath,2000,130,155.46,"Drama, Horror, Mystery",Robert Zemeckis,6.6,"125,846"
Chocolat,2000,121,71.51,"Drama, Romance",Lasse Hallström,7.3,"191,110"
The Gift,2000,112,12.01,"Drama, Fantasy, Horror",Sam Raimi,6.7,"69,172"
Peter Pan,1953,77,87.4,"Animation, Adventure, Family",Clyde Geronimi,7.3,"138,938"
Happy Feet,2006,108,198,"Animation, Adventure, Comedy",George Miller,6.4,"184,772"
Enter the Dragon,1973,102,25,"Action, Crime, Drama",Robert Clouse,7.6,"104,276"
Street Fighter,1994,102,33.42,"Action, Adventure, Comedy",Steven E. de Souza,4,"71,358"
Shark Tale,2004,90,160.86,"Animation, Adventure, Comedy",Bibo Bergeron,6,"182,023"
Braindead,1992,104,0.24,"Comedy, Fantasy, Horror",Peter Jackson,7.5,"97,096"
Crank,2006,88,27.83,"Action, Crime, Thriller",Mark Neveldine,6.9,"248,781"
Semi-Pro,2008,91,33.47,"Comedy, Sport",Kent Alterman,5.8,"82,662"
RoboCop 2,1990,117,45.68,"Action, Crime, Sci-Fi",Irvin Kershner,5.8,"86,604"
Hooligans,2005,109,0.34,"Crime, Drama, Sport",Lexi Alexander,7.4,"150,744"
Cube,1997,90,0.5,"Drama, Horror, Mystery",Vincenzo Natali,7.2,"229,157"
30 Days of Night,2007,113,39.57,"Action, Adventure, Horror",David Slade,6.6,"176,111"
Bride of Chucky,1998,89,32.4,"Comedy, Horror, Thriller",Ronny Yu,5.5,"58,386"
Small Soldiers,1998,108,54.68,"Action, Adventure, Comedy",Joe Dante,6.2,"99,314"
Dawn of the Dead,1978,127,5.1,"Horror, Thriller",George A. Romero,7.8,"119,905"
Mad Max Beyond Thunderdome,1985,107,36.2,"Action, Adventure, Sci-Fi",George Miller,6.2,"136,426"
Die Hard 2,1990,124,117.54,"Action, Thriller",Renny Harlin,7.1,"359,464"
Deuce Bigalow: Male Gigolo,1999,88,65.54,"Comedy, Romance",Mike Mitchell,5.7,"75,450"
Universal Soldier,1992,102,36.3,"Action, Sci-Fi",Roland Emmerich,6.1,"89,508"
Yes Man,2008,104,97.69,"Comedy, Romance",Peyton Reed,6.8,"359,735"
Live Free or Die Hard,2007,128,134.53,"Action, Thriller",Len Wiseman,7.1,"404,749"
P.S. I Love You,2007,126,53.7,"Comedy, Drama, Romance",Richard LaGravenese,7,"209,619"
Alice in Wonderland,1951,75,1.07,"Animation, Adventure, Comedy",Clyde Geronimi,7.4,"140,902"
Babe,1995,91,66.6,"Comedy, Drama, Family",Chris Noonan,6.9,"125,135"
Snakes on a Plane,2006,105,34.02,"Action, Adventure, Crime",David R. Ellis,5.5,"139,301"
Buried,2010,95,1.03,"Drama, Mystery, Thriller",Rodrigo Cortés,7,"160,495"
Due Date,2010,95,100.54,"Comedy, Drama",Todd Phillips,6.5,"342,190"
"South Park: Bigger, Longer & Uncut",1999,81,52.04,"Animation, Comedy, Fantasy",Trey Parker,7.7,"203,922"
Rambo III,1988,102,53.72,"Action, Adventure, Thriller",Peter MacDonald,5.8,"130,906"
The Forgotten,2004,91,66.64,"Drama, Mystery, Sci-Fi",Joseph Ruben,5.8,"66,124"
The Final Destination,2009,82,66.48,"Horror, Thriller",David R. Ellis,5.1,"105,436"
Catwoman,2004,104,40.2,"Action, Crime, Fantasy",Pitof,3.4,"119,325"
Transporter 2,2005,87,43.1,"Action, Crime, Thriller",Louis Leterrier,6.3,"202,706"
Norbit,2007,103,95.67,"Comedy, Romance",Brian Robbins,4.1,"74,419"
The Long Kiss Goodnight,1996,121,33.33,"Action, Crime, Drama",Renny Harlin,6.8,"79,695"
American Wedding,2003,96,104.57,Comedy,Jesse Dylan,6.3,"205,682"
Jeepers Creepers 2,2003,106,35.67,Horror,Victor Salva,5.6,"64,467"
Dreamcatcher,2003,136,33.72,"Drama, Horror, Sci-Fi",Lawrence Kasdan,5.5,"92,605"
Daddy Day Care,2003,92,104.3,"Comedy, Family",Steve Carr,5.6,"68,661"
Jay and Silent Bob Strike Back,2001,104,30.09,Comedy,Kevin Smith,6.8,"154,771"
The Bank Job,2008,111,30.03,"Crime, Drama, Thriller",Roger Donaldson,7.2,"181,432"
Wild Hogs,2007,100,168.27,"Action, Adventure, Comedy",Walt Becker,5.8,"118,785"
The Longest Day,1962,178,39.1,"Action, Drama, History",Ken Annakin,7.7,"55,900"
Brother Bear,2003,85,85.34,"Animation, Adventure, Comedy",Aaron Blaise,6.8,"109,897"
Lethal Weapon 3,1992,118,144.73,"Action, Crime, Thriller",Richard Donner,6.7,"167,897"
Team America: World Police,2004,98,32.79,"Action, Comedy",Trey Parker,7.2,"168,973"
About a Boy,2002,101,41.39,"Comedy, Drama, Romance",Chris Weitz,7.1,"183,494"
El orfanato,2007,105,7.16,"Drama, Horror, Mystery",J.A. Bayona,7.4,"155,227"
Flightplan,2005,98,89.71,"Drama, Mystery, Thriller",Robert Schwentke,6.3,"162,310"
Four Rooms,1995,98,4.3,Comedy,Allison Anders,6.7,"104,676"
The Bucket List,2007,97,93.47,"Adventure, Comedy, Drama",Rob Reiner,7.4,"244,978"
What Happens in Vegas,2008,99,80.28,"Comedy, Romance",Tom Vaughan,6.1,"176,586"
Disaster Movie,2008,87,14.19,"Comedy, Sci-Fi",Jason Friedberg,1.9,"91,407"
Dinosaur,2000,82,137.75,"Animation, Adventure, Drama",Eric Leighton,6.4,"60,619"
Hotel Rwanda,2004,121,23.53,"Biography, Drama, History",Terry George,8.1,"353,788"
Jaws: The Revenge,1987,89,20.76,"Adventure, Horror, Thriller",Joseph Sargent,3,"46,029"
A Perfect Getaway,2009,98,15.48,"Drama, Mystery, Thriller",David Twohy,6.5,"72,670"
The Polar Express,2004,100,183.37,"Animation, Adventure, Comedy",Robert Zemeckis,6.6,"204,367"
Home Alone 3,1997,102,30.88,"Action, Comedy, Crime",Raja Gosnell,4.5,"116,261"
Runaway Jury,2003,127,49.44,"Crime, Drama, Thriller",Gary Fleder,7.1,"97,549"
Cheaper by the Dozen 2,2005,94,82.57,"Adventure, Comedy, Family",Adam Shankman,5.5,"58,984"
Starsky & Hutch,2004,101,88.24,"Comedy, Crime",Todd Phillips,6.1,"147,313"
Anger Management,2003,106,135.65,Comedy,Peter Segal,6.2,"215,228"
Pinocchio,1940,88,84.25,"Animation, Adventure, Comedy",Norman Ferguson,7.5,"144,097"
Saw II,2005,93,87.04,"Horror, Mystery",Darren Lynn Bousman,6.6,"250,851"
Charlotte's Web,2006,97,82.99,"Adventure, Comedy, Family",Gary Winick,6.3,"42,063"
Resident Evil: Extinction,2007,94,50.65,"Action, Horror, Sci-Fi",Russell Mulcahy,6.2,"195,335"
The Day the Earth Stood Still,2008,104,79.37,"Adventure, Drama, Sci-Fi",Scott Derrickson,5.5,"170,628"
Dear John,2010,108,80.01,"Drama, Mystery, Romance",Lasse Hallström,6.3,"148,692"
Finding Neverland,2004,106,51.68,"Biography, Drama, Family",Marc Forster,7.7,"206,214"
Zwartboek,2006,145,4.4,"Drama, Thriller, War",Paul Verhoeven,7.7,"76,865"
Beethoven,1992,87,57.11,"Comedy, Drama, Family",Brian Levant,5.7,"71,640"
8MM,1999,123,36.66,"Crime, Drama, Mystery",Joel Schumacher,6.5,"133,222"
The SpongeBob SquarePants Movie,2004,87,85.42,"Animation, Adventure, Comedy",Stephen Hillenburg,7.1,"90,465"
The Sorcerer's Apprentice,2010,109,63.15,"Action, Adventure, Family",Jon Turteltaub,6.1,"161,976"
Surf's Up,2007,85,58.87,"Animation, Adventure, Comedy",Ash Brannon,6.7,"79,284"
The Black Dahlia,2006,121,22.52,"Crime, Drama, Mystery",Brian De Palma,5.6,"74,269"
The Mechanic,2011,93,29.12,"Action, Crime, Thriller",Simon West,6.5,"160,615"
Underworld: Evolution,2006,106,62.32,"Action, Fantasy, Thriller",Len Wiseman,6.7,"199,678"
Shrek Forever After,2010,93,238.37,"Animation, Adventure, Comedy",Mike Mitchell,6.3,"203,093"
Cool Runnings,1993,98,68.86,"Adventure, Comedy, Family",Jon Turteltaub,7,"103,708"
Swimfan,2002,85,28.56,"Drama, Thriller",John Polson,5,"20,292"
Sister Act 2: Back in the Habit,1993,107,57.32,"Comedy, Family, Music",Bill Duke,5.6,"53,909"
Daybreakers,2009,98,30.1,"Action, Horror, Sci-Fi",Michael Spierig,6.4,"128,888"
Æon Flux,2005,93,25.86,"Action, Adventure, Sci-Fi",Karyn Kusama,5.4,"128,412"
The Haunted Mansion,2003,99,75.85,"Comedy, Family, Fantasy",Rob Minkoff,5.1,"48,712"
Elektra,2005,97,24.41,"Action, Adventure, Crime",Rob Bowman,4.7,"93,074"
The Simpsons Movie,2007,87,183.14,"Animation, Adventure, Comedy",David Silverman,7.3,"328,214"
The Ruins,2008,90,17.43,Horror,Carter Smith,5.9,"75,100"
Clerks II,2006,97,24.15,Comedy,Kevin Smith,7.3,"134,834"
Shaft,2000,99,70.33,"Action, Crime, Thriller",John Singleton,6,"77,228"
Day of the Dead,1985,101,5.8,"Horror, Thriller",George A. Romero,7.1,"68,927"
Over the Hedge,2006,83,155.02,"Animation, Adventure, Comedy",Tim Johnson,6.7,"174,229"
RoboCop 3,1993,104,10.7,"Action, Crime, Sci-Fi",Fred Dekker,4.1,"50,486"
Next,2007,96,18.21,"Action, Sci-Fi, Thriller",Lee Tamahori,6.2,"158,389"
Bad Boys II,2003,147,138.61,"Action, Comedy, Crime",Michael Bay,6.6,"249,271"
The Sweetest Thing,2002,84,24.72,"Comedy, Romance",Roger Kumble,5.1,"59,056"
Spy Kids 2: Island of Lost Dreams,2002,100,85.85,"Action, Adventure, Comedy",Robert Rodriguez,5.2,"67,555"
The Skeleton Key,2005,104,47.81,"Drama, Horror, Mystery",Iain Softley,6.5,"114,373"
Gremlins 2: The New Batch,1990,106,41.48,"Comedy, Fantasy, Horror",Joe Dante,6.4,"103,011"
Underworld: Rise of the Lycans,2009,92,45.8,"Action, Fantasy, Thriller",Patrick Tatopoulos,6.5,"159,849"
The Fox and the Hound,1981,83,63.46,"Animation, Adventure, Drama",Ted Berman,7.2,"92,927"
Baise-moi,2000,77,0.01,"Crime, Drama, Thriller",Virginie Despentes,4.4,"17,755"
The Green Hornet,2011,119,98.78,"Action, Comedy, Crime",Michel Gondry,5.8,"160,521"
Bowfinger,1999,97,66.38,Comedy,Frank Oz,6.5,"70,753"
Madagascar: Escape 2 Africa,2008,89,180.01,"Animation, Adventure, Comedy",Eric Darnell,6.6,"225,680"
Escape from Alcatraz,1979,112,43,"Action, Biography, Crime",Don Siegel,7.6,"132,883"
Evan Almighty,2007,96,100.46,"Comedy, Family, Fantasy",Tom Shadyac,5.4,"147,385"
Antz,1998,83,90.76,"Animation, Adventure, Comedy",Eric Darnell,6.6,"154,890"
Bride & Prejudice,2004,122,6.6,"Comedy, Drama, Musical",Gurinder Chadha,6.2,"20,887"
Deuce Bigalow: European Gigolo,2005,83,22.26,Comedy,Mike Bigelow,4.6,"51,030"
The Crazies,2010,101,39.12,"Adventure, Horror",Breck Eisner,6.5,"120,951"
